Element ID,Element Name,Renamed,Description
2.C.3.d,Building and Construction,,"Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads."
2.C.3.e,Mechanical,,"Knowledge of machines and tools, including their designs, uses, repair, and maintenance."
2.C.4,Mathematics and Science,,"Knowledge of the history, theories, methods, and applications of the physical, biological, social, mathematical, and geography"
2.C.4.a,Mathematics,,"Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications."
2.C.4.b,Physics,,"Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes."
2.C.4.c,Chemistry,,"Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods."
2.C.4.d,Biology,,"Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment."
2.C.4.e,Psychology,,"Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders."
2.C.4.f,Sociology and Anthropology,,"Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins."
2.C.4.g,Geography,,"Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life."
2.C.5,Health Services,Health,"Knowledge of principles and facts regarding diagnosing, curing, and preventing disease, and improving and preserving physical and mental health and well-being"
2.C.5.a,Medicine and Dentistry,,"Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures."
2.C.5.b,Therapy and Counseling,,"Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance."
2.C.6,Education and Training,Education,"Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects."
2.C.7,Arts and Humanities,"Arts,Humanities","Knowledge of facts and principles related to the branches of learning concerned with human thought, language, and the arts."
2.C.7.a,English Language,Language,"Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar."
2.C.7.b,Foreign Language,,"Knowledge of the structure and content of a foreign (non-English) language including the meaning and spelling of words, rules of composition and grammar, and pronunciation."
2.C.7.c,Fine Arts,,"Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture."
2.C.7.d,History and Archeology,,"Knowledge of historical events and their causes, indicators, and effects on civilizations and cultures."
2.C.7.e,Philosophy and Theology,,"Knowledge of different philosophical systems and religions. This includes their basic principles, values, ethics, ways of thinking, customs, practices, and their impact on human culture."
2.C.8,Law and Public Safety,"Law,Public Safety","Knowledge of regulations and methods for maintaining people and property free from danger, injury, or damage; the rules of public conduct established and enforced by legislation, and the political process establishing such rules."
2.C.8.a,Public Safety and Security,,"Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions."
2.C.8.b,Law and Government,,"Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process."
2.C.9,Communications,Communications,Knowledge of the science and art of delivering information
2.C.9.a,Telecommunications,,"Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems."
2.C.9.b,Communications and Media,,"Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media."
2.C.10,Transportation,Transportation,"Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits."
